"Type","cause","Year","Total Deaths"
Bencana Non Alam dan Penyakit,Difteri,2017,44
Bencana Non Alam dan Penyakit,Difteri,2018,29
Bencana Non Alam dan Penyakit,Difteri,2019,23
Bencana Non Alam dan Penyakit,Difteri,2020,13
Bencana Non Alam dan Penyakit,Difteri,2021,25
Bencana Non Alam dan Penyakit,Difteri,2021,25
Bencana Non Alam dan Penyakit,Dispepsia,2009,520
Bencana Non Alam dan Penyakit,Dispepsia,2010,166
Bencana Non Alam dan Penyakit,Dispepsia,2010,166
Bencana Non Alam dan Penyakit,Eklamsia dan preeklamsia,2004,145
Bencana Non Alam dan Penyakit,Eklamsia dan preeklamsia,2005,197
Bencana Non Alam dan Penyakit,Eklamsia dan preeklamsia,2006,166
Bencana Alam,Erupsi Gunung Api,2012,0
Bencana Non Alam dan Penyakit,Faktor yg Mempengaruhi Keadaan Kesehatan & yg Berhubungan dengan Pelayanan Kesehatan,2005,796
Bencana Non Alam dan Penyakit,Faktor yg Mempengaruhi Keadaan Kesehatan & yg Berhubungan dengan Pelayanan Kesehatan,2006,925
Bencana Non Alam dan Penyakit,Faktor yg Mempengaruhi Keadaan Kesehatan & yg Berhubungan dengan Pelayanan Kesehatan,2006,925
Bencana Non Alam dan Penyakit,Faktor yg Mempengaruhi Keadaan Kesehatan & yg Berhubungan dengan Pelayanan Kesehatan,2008,1627
Bencana Non Alam dan Penyakit,Gagal ginjal lainnya,2005,3047
Bencana Non Alam dan Penyakit,Gagal ginjal lainnya,2006,2521
Bencana Non Alam dan Penyakit,Gagal ginjal lainnya,2006,2521
Bencana Non Alam dan Penyakit,Gagal Teknologi,2015,23
Bencana Non Alam dan Penyakit,Gagal Teknologi,2016,20
Bencana Non Alam dan Penyakit,Gagal Teknologi,2017,0
Bencana Non Alam dan Penyakit,Gagal Teknologi,2018,5
Bencana Non Alam dan Penyakit,Gagal Teknologi,2019,1
Bencana Non Alam dan Penyakit,Gagal Teknologi,2020,1
Bencana Non Alam dan Penyakit,Gangguan Mental & Perilaku,2005,164
Bencana Non Alam dan Penyakit,Gangguan Mental & Perilaku,2006,227
Bencana Non Alam dan Penyakit,Gagal Teknologi,2021,7
Bencana Non Alam dan Penyakit,Gangguan Mental & Perilaku,2006,227
Bencana Non Alam dan Penyakit,Gangguan Mental & Perilaku,2008,204
Bencana Non Alam dan Penyakit,Gangguan saluran napas lainnya yang berhubungan dengan masa perinatal,2004,548
Bencana Non Alam dan Penyakit,Gangguan saluran napas lainnya yang berhubungan dengan masa perinatal,2005,724
Bencana Non Alam dan Penyakit,Gangguan saluran napas lainnya yang berhubungan dengan masa perinatal,2006,662
Bencana Non Alam dan Penyakit,Gastritis dan Duodenitis,2009,235
Bencana Non Alam dan Penyakit,"Gejala, Tanda & Penemuan Laboratorium, Klinik Abnormal YTK",2005,3264
Bencana Non Alam dan Penyakit,"Gejala, Tanda & Penemuan Laboratorium, Klinik Abnormal YTK",2006,3296
Bencana Non Alam dan Penyakit,"Gejala, Tanda & Penemuan Laboratorium, Klinik Abnormal YTK",2006,3296
Bencana Non Alam dan Penyakit,"Gejala, Tanda & Penemuan Laboratorium, Klinik Abnormal YTK",2007,3967
Bencana Non Alam dan Penyakit,"Gejala, Tanda & Penemuan Laboratorium, Klinik Abnormal YTK",2008,4238
Bencana Non Alam dan Penyakit,"Gejala, Tanda & Penemuan Laboratorium, Klinik Abnormal YTK",2008,4238
Bencana Alam,Gelombang Besar dan Angin Siklon Tropis,2012,1
Bencana Alam,Gelombang Pasang,2008,5
Bencana Alam,Gelombang Pasang,2009,0
Bencana Alam,Gelombang Pasang,2010,0
Bencana Alam,Gelombang Pasang,2011,0
Bencana Alam,Gelombang Pasang/Badai,2016,4
Bencana Alam,Gelombang Pasang/Badai,2017,0
Bencana Alam,Gelombang Pasang/Badai,2018,0
Bencana Alam,Gelombang Pasang/Badai,2019,0
Bencana Alam,Gelombang Pasang/Badai,2020,0
Bencana Alam,Gelombang Pasang/Badai,2021,7
Bencana Alam,Gempa Bumi,2005,1801
Bencana Alam,Gempa Bumi,2006,6469
Bencana Alam,Gempa Bumi,2007,99
Bencana Alam,Gempa Bumi,2008,14
Bencana Alam,Gelombang Besar,2012,3
Bencana Alam,Gempa Bumi,2009,1209
Bencana Alam,Gempa Bumi,2010,7
Bencana Alam,Gempa Bumi,2011,1
Bencana Alam,Gempa Bumi,2012,13
Bencana Alam,Gempa Bumi,2015,2
Bencana Alam,Gempa Bumi,2016,107
Bencana Alam,Gempa Bumi,2017,4
Bencana Alam,Gempa Bumi,2018,573
Bencana Alam,Gempa Bumi,2019,64
Bencana Alam,Gempa Bumi,2020,0
Bencana Alam,Gempa Bumi dan Tsunami,2016,0
Bencana Alam,Gempa Bumi dan Tsunami,2017,0
Bencana Alam,Gempa Bumi dan Tsunami,2018,2615
Bencana Alam,Gempa Bumi dan Tsunami,2019,0
Bencana Alam,Gempa Bumi dan Tsunami,2020,0
Bencana Alam,Gempa Bumi dan Tsunami,2021,0
Bencana Non Alam dan Penyakit,Gizi Buruk,2005,293
